Word,Frequency
gatsby,268
tom,191
daisy,186
one,154
like,122
man,114
back,109
came,108
been,107
just,103
d,103
know,100
now,100
don,98
gutenberg,98
house,95
before,94
went,91
project,90
after,89
eyes,89
old,86
didn,85
looked,85
come,85
got,85
mr,84
see,84
time,83
your,78
away,78
way,77
wilson,77
ll,77
m,76
get,75
night,73
car,73
jordan,73
new,73
two,73
room,71
go,71
going,70
around,70
well,70
moment,70
through,68
something,68
door,68
people,66
think,65
ve,65
never,64
turned,64
hand,63
long,63
made,63
re,63
want,59
voice,58
first,56
work,56
face,55
knew,54
right,54
look,52
saw,52
began,50
while,50
even,49
took,48
thought,48
girl,48
white,47
sport,47
toward,47
half,47
1,46
last,45
off,45
young,45
day,45
told,45
heard,44
name,43
men,43
until,43
oh,43
asked,43
afternoon,42
light,42
must,42
left,41
baker,40
west,40
head,40
years,40
hour,40
suddenly,40
wasn,39
seemed,39
miss,38
three,38
let,38
say,38
hands,38
found,38
small,36
thing,36
five,36
next,36
though,35
tell,35
world,35
york,35
nothing,35
upon,35
looking,35
without,35
minute,35
full,34
egg,34
always,34
alone,34
table,33
against,33
works,33
o,32
clock,32
sat,32
things,32
wolfshiem,32
mrs,31
front,31
seen,31
along,31
cried,31
together,31
life,31
great,31
still,31
morning,30
make,30
good,30
sound,30
himself,29
side,29
anything,29
called,29
ever,28
couldn,28
take,28
garage,28
every,28
stood,28
wanted,27
moved,27
electronic,27
might,27
home,27
money,26
four,26
gave,26
inquired,26
across,26
air,25
garden,25
foundation,25
everything,25
dark,25
started,25
later,25
open,25
rather,25
hot,25
set,24
almost,24
married,24
between,24
terms,24
felt,24
steps,24
god,24
nick,24
love,24
hear,24
word,24
demanded,24
myrtle,23
wife,23
east,23
broke,23
course,23
lawn,23
sort,23
feet,23
e,23
gone,23
walked,23
days,23
town,22
give,22
end,22
michaelis,22
matter,22
use,22
yellow,22
wouldn,22
buchanan,22
hair,22
party,21
hadn,21
blue,21
drive,21
beside,21
year,21
met,21
put,21
may,21
place,21
except,21
woman,21
road,21
rose,21
among,21
chicago,20
dog,20
evening,20
stopped,20
butler,20
used,20
body,20
trying,20
states,20
copyright,20
girls,20
fact,20
windows,20
agreement,20
loved,20
city,20
inside,19
business,19
ago,19
heart,19
perhaps,19
office,19
hard,19
window,19
big,19
tried,19
summer,19
dress,19
idea,19
telephone,19
haven,19
chair,19
better,18
happened,18
call,18
dozen,18
itself,18
behind,18
slowly,18
passed,18
license,18
far,18
outside,18
friend,18
copy,18
mean,18
several,18
doesn,18
ought,18
brought,18
remember,18
island,18
high,18
somebody,18
grey,18
opened,17
answered,17
past,17
times,17
myself,17
fell,17
shook,17
find,17
won,17
rain,17
whole,17
person,17
sitting,17
talked,17
sure,17
sent,17
green,17
bright,16
expression,16
coat,16
women,16
already,16
insisted,16
nodded,16
bed,16
believe,16
porch,16
waited,16
standing,16
arrived,16
live,16
bought,16
street,16
immediately,16
being,16
mckee,16
am,16
certain,15
floor,15
tomorrow,15
ask,15
speak,15
isn,15
hall,15
stared,15
united,15
words,15
laughed,15
suppose,15
followed,15
cody,15
least,15
glanced,15
drove,15
really,15
short,15
family,15
donations,15
wait,15
getting,15
close,15
effort,15
arm,15
anyone,15
reached,15
quickly,15
enough,15
leaned,15
understand,15
train,15
pretty,14
suggested,14
cold,14
held,14
george,14
week,14
mouth,14
oxford,14
f,14
book,14
explained,14
cool,14
minutes,14
stop,14
pale,14
either,14
sometimes,14
sun,14
change,14
crazy,14
read,14
trademark,14
suit,14
literary,14
policeman,14
cars,14
someone,14
trees,14
longer,14
heat,14
hundred,14
